QKEY	F_RACETHN_RECRUITMENT	THERMO2_THERMTRUMP_W23	VALIDATED_VOTER_2016_W23	COMPORT_W23	WEIGHT_W23
126131	1	25	1	1	0.062755
126190	1	0	1	1	0.0778547
126220	1	100	0	2	1.4591006
126237	1	90	1	1	0.1329177
126380	1	0	1	1	0.2590887
126404	1	999	1	1	0.3188873
126570	1	100	1	1	1.8465852
126893	1	30	1	1	0.2630031
127160	4	70	0	2	0.4283357
127250	1	50	1	1	0.332338
127284	9	85	0	3	4.0247562
127498	1	30	1	1	0.3298741
127800	1	50	1	1	1.0944367
127828	1	85	1	1	0.1928568
128214	4	75	1	1	0.4431132
128285	4	0	1	1	0.7300473
128558	1	80	1	1	0.3277746
129015	1	0	1	1	0.1263532
129046	1	50	1	1	0.214127
129189	1	90	1	1	0.243119
129622	4	20	0	2	2.8327165
129740	1	0	1	1	0.062755
130022	1	15	1	1	0.7361096
130216	1	0	1	1	0.1593694
130287	1	40	1	1	0.1453672
130571	3	70	1	1	0.1297102
130655	1	60	1	1	1.7783383
130781	4	20	1	1	0.2935199
130889	1	0	1	1	0.6483951
131599	1	90	NA	NA	0.2786125
131672	1	35	1	1	0.2154943
131708	1	95	1	1	1.5120645
131786	9	97	0	3	0.8170053
132062	4	40	1	1	0.5322079
132146	1	0	1	1	0.1893484
132240	1	80	1	1	0.2286848
132246	9	40	1	1	0.2003953
132264	1	0	1	1	0.1625656
132346	1	5	1	1	0.0878142
132478	1	10	1	1	0.3069281
132489	1	0	1	1	0.062755
132973	1	20	1	1	1.1677265
133051	1	100	1	1	0.1141656
133114	1	0	0	3	0.1086346
133253	1	100	1	1	0.0979446
133435	1	60	1	1	0.8125324
133550	1	10	1	1	0.3556299
133700	1	80	1	1	1.2705514
133889	1	5	1	1	0.7639987
133961	1	75	1	1	6.1079879
133978	1	80	1	1	0.245726
134525	1	80	1	1	0.4706793
135146	1	80	1	1	0.0699338
135174	1	10	1	1	0.1589198
135179	1	1	1	1	0.062755
135184	1	75	1	1	0.1884501
135293	1	50	1	1	0.2853424
135317	1	20	1	1	0.0780556
135459	1	40	1	1	0.1053506
135663	1	0	1	1	0.3093916
135706	1	25	NA	NA	0.1952951
135751	1	0	1	1	0.3995616
135822	1	100	1	1	0.6039323
136015	1	90	1	1	0.8638326
136046	1	0	1	1	0.1192195
136316	1	100	1	1	0.5740068
136411	1	90	1	1	0.6230029
136999	1	90	0	2	0.2516117
137139	9	0	1	1	0.200649
137695	4	75	0	3	0.3023667
137886	1	50	1	1	0.3167904
138099	4	50	1	1	0.4781204
138105	1	25	1	1	0.5393451
138239	1	0	NA	NA	0.0994043
138284	1	50	1	1	0.1602965
138471	1	70	1	1	0.1245472
138555	1	85	1	1	0.2043426
139134	1	85	1	1	0.2561896
139298	1	80	1	1	0.2577637
139467	1	80	1	1	0.1044991
139905	1	20	1	1	0.0950207
140165	1	0	1	1	1.5424031
140200	1	0	1	1	0.1305085
140204	1	0	1	1	0.0814185
140402	1	50	0	2	8.3768405
140444	1	10	1	1	0.0907739
140458	3	25	1	1	8.3768405
140544	1	55	1	1	0.3855742
140639	1	0	1	1	0.4734866
141319	2	0	1	1	3.0434274
141471	1	40	1	1	0.2911783
141804	1	0	1	1	0.062755
141866	1	75	1	1	0.2162452
141878	1	75	1	1	0.1532587
142353	2	50	1	1	8.3768405
142360	1	25	1	1	0.3267004
142398	1	8	1	1	0.1992733
142447	1	25	1	1	0.3724898
142612	2	50	1	1	4.082126
142838	1	0	1	1	0.1736378
143122	1	0	1	1	0.2738431
143511	1	0	1	1	0.4617638
143828	1	80	0	2	0.6081942
143915	1	100	1	1	0.2293008
144036	1	100	1	1	0.2861211
144068	1	85	1	1	0.1151828
144120	2	50	1	1	1.0940046
144429	1	80	1	1	0.819524
144736	1	5	1	1	0.249872
145304	1	30	1	1	0.464004
145364	3	90	1	1	0.6977959
145412	1	5	1	1	0.1665103
145447	1	10	1	1	0.1689749
145693	2	50	1	1	7.3624096
145887	1	50	1	1	1.8788218
146062	1	0	1	1	0.1186206
146170	1	60	1	1	0.166602
146434	1	100	1	1	1.1062549
146500	1	100	NA	NA	0.9117926
146637	1	0	1	1	0.6308565
146729	2	10	1	1	0.2140361
146784	4	60	1	1	0.2302594
146878	1	0	1	1	0.0790514
147102	1	90	1	1	0.1586057
147121	1	100	0	2	3.286381
147316	3	0	1	1	0.7935986
147481	1	100	1	1	0.5040189
147654	1	30	1	1	0.11664
147701	1	100	0	3	0.2337204
147763	1	20	1	1	0.1815282
148162	1	10	1	1	0.0690683
148517	1	90	1	1	0.062755
149522	1	0	1	1	0.4520007
149866	1	89	1	1	1.6800084
150032	4	25	1	1	0.3354705
150063	1	1	0	2	0.5270927
150084	4	27	1	1	1.2236044
150129	1	75	1	1	0.3163192
150197	1	65	1	1	0.243776
150280	3	50	NA	NA	0.9036612
150381	1	0	1	1	0.2199098
150467	1	10	1	1	0.8558777
150714	1	0	1	1	0.9165778
150788	1	0	1	1	0.5502003
151130	2	50	1	1	0.2668876
151513	1	0	1	1	0.1076802
151850	1	10	1	1	0.3156345
151929	1	100	1	1	0.1037139
151972	1	50	1	1	0.1149747
152263	1	40	1	1	0.3705126
152324	1	20	1	1	0.2601834
152473	1	60	1	1	0.42861900000000003
152538	1	2	1	1	0.062755
152916	1	40	1	1	0.8043547
152957	1	0	1	1	5.527853
153346	2	100	1	1	0.1785295
153391	1	0	1	1	0.1707252
153863	2	0	1	1	1.9265681
153996	1	25	1	1	0.8298265
154072	1	30	1	1	0.115799
154577	1	100	1	1	0.7393336
154578	3	100	1	1	3.5756317
154730	2	90	1	1	0.3513843
154750	1	70	1	1	0.3257607
154874	1	80	1	1	0.70988
154948	1	0	1	1	0.1308178
155164	1	40	1	1	1.6045969
155329	1	50	1	1	1.9421922
155464	1	0	1	1	8.3768405
155606	1	90	1	1	0.1788659
155832	1	70	NA	NA	0.6144643
155900	1	1	1	1	0.1231408
156200	1	5	1	1	0.2571685
156233	4	50	1	1	1.1518836
156343	1	10	1	1	0.2867032
156615	1	0	1	1	0.1409681
156660	1	0	1	1	0.390241
157348	1	0	1	1	0.4527614
157570	1	0	1	1	0.4618646
157730	1	100	1	1	0.0697041
157743	1	95	1	1	1.0878902
157877	1	75	1	1	0.4665818
158144	1	0	1	1	0.092987
158193	1	0	1	1	0.2767843
158469	1	0	1	1	0.0669053
158647	2	50	0	2	2.4773622
158846	1	80	1	1	0.4368923
159075	1	20	0	3	0.2459617
159216	1	0	1	1	0.2726473
159562	1	80	1	1	0.0946541
159674	1	0	1	1	0.0792662
159828	1	100	1	1	0.0645566
159997	1	30	1	1	0.1282223
160100	1	0	1	1	0.1074123
160170	1	75	1	1	0.1496446
160193	1	100	1	1	0.612631
160394	1	0	1	1	0.0993159
161130	1	90	0	2	0.477218
161742	3	60	1	1	0.4460249
161820	1	40	1	1	5.2458362
162028	2	0	1	1	0.8492359
162119	1	85	1	1	0.2840545
162341	1	100	0	2	1.1073947
162517	1	0	1	1	0.5105153
162846	1	90	1	1	2.1382498
164188	1	100	0	3	2.8463856
164283	1	2	1	1	0.1018667
164425	1	50	1	1	0.2390565
165171	4	80	1	1	0.255186
165240	3	0	1	1	0.6914896
165452	2	999	1	1	6.9194523
165729	1	0	1	1	0.781575
166094	1	999	1	1	1.5769232
166167	1	0	1	1	1.0399963
166301	1	1	1	1	0.800887
166712	1	25	1	1	0.2617866
167094	1	80	1	1	0.272339
167110	1	100	1	1	0.775477
167866	4	0	1	1	1.3151019
168336	1	30	1	1	0.7841812
168937	1	50	1	1	1.5647354
169032	1	25	0	2	2.8684495
169135	1	80	1	1	0.1140697
169249	1	30	1	1	2.269861
169864	1	90	1	1	0.8130496
170423	1	10	0	2	1.830736
170724	1	10	1	1	0.1658005
170940	1	99	1	1	0.102697
171076	1	10	1	1	0.261554
171099	1	0	1	1	0.0969399
171264	2	0	1	1	0.3047544
172231	1	100	1	1	0.1857193
174032	1	80	1	1	0.2650094
175192	1	100	1	1	0.9442825
175285	3	5	1	1	0.5373377
175363	1	50	1	1	0.0802328
175884	1	20	1	1	0.4043519
175988	1	50	1	1	1.0288275
176183	1	76	1	1	4.9518468
176214	1	10	1	1	0.355085
176308	1	70	1	1	4.0219358
176680	1	90	1	1	0.4049366
176709	1	95	1	1	0.4926234
176824	1	50	1	1	0.2640992
176868	1	50	1	1	0.1906375
176890	1	70	1	1	0.062755
176940	1	0	1	1	0.3979944
177119	1	70	0	3	2.042025
177211	2	0	1	1	0.1479897
177271	1	75	NA	NA	0.2992485
177329	1	90	1	1	0.6780639
177572	1	0	1	1	1.350689
177798	1	0	1	1	0.3691052
177818	9	65	1	1	0.3506899
178297	1	100	1	1	0.9201706
178470	2	0	0	3	0.1425751
178550	2	0	0	3	0.3357554
178592	1	0	1	1	0.1528738
179144	9	0	1	1	0.0905313
179396	1	0	1	1	0.360041
179513	1	50	1	1	0.320065
179522	3	0	1	1	0.1289853
179691	1	100	1	1	0.172314
179909	2	0	1	1	0.2241299
179979	1	95	1	1	1.886648
180286	1	70	1	1	0.1303764
180595	1	80	1	1	1.3883899
181067	1	0	1	1	0.3962959
181396	3	0	0	3	0.1433625
181573	1	100	0	3	0.4107882
181617	1	0	1	1	0.1370886
181689	1	50	1	1	0.1877063
181690	1	40	1	4	0.2944868
182402	1	60	0	2	0.73508
182775	1	0	1	1	0.062755
182804	1	0	1	1	0.3791832
182998	1	20	1	1	0.2157917
183145	1	70	1	1	0.1043939
183329	1	85	0	2	2.763771
183530	1	60	1	1	1.4951902
184045	1	0	1	1	0.5936727
184688	1	85	NA	NA	0.2186763
184735	4	50	1	1	0.2676664
184743	1	0	1	1	0.062755
184778	1	75	0	2	0.3245083
185293	1	90	NA	NA	1.3553377
185394	4	10	1	1	0.3777449
185413	1	75	1	1	0.2660324
185435	1	75	1	1	0.2734747
185896	3	40	1	1	1.6303974
185944	4	10	1	1	0.5014608
186170	1	90	1	1	0.9188973
186444	1	100	0	2	0.5362265
186902	1	30	1	1	0.1363613
186921	1	10	1	1	0.3963533
186956	1	50	1	1	0.3178073
186970	1	75	1	1	0.4120612
187020	1	90	1	1	0.2105323
187312	1	40	1	1	0.3091112
187390	2	0	1	1	0.7595529
187635	1	10	1	1	0.0918528
187774	3	95	1	1	0.2514459
188109	2	0	1	1	0.4590218
188245	1	5	1	1	0.2365999
188340	1	65	1	1	0.2171675
188516	1	80	1	1	0.47311
189053	1	75	1	1	1.9099658
189213	1	0	1	1	0.1090333
189323	1	100	1	1	6.3855459
189589	1	0	1	1	0.1616789
190080	1	0	1	1	0.1845104
190519	2	20	1	1	0.1305865
190780	4	0	1	1	0.2279024
190961	1	50	0	2	1.6212816
191032	1	0	1	1	0.0979379
191063	1	75	0	3	2.3951305
191081	1	54	1	1	0.2095608
191261	1	65	1	1	0.1182844
191336	1	0	0	3	0.3663246
191583	1	0	1	1	0.0650966
191599	1	0	1	1	0.5760511
192213	1	45	1	1	0.1256574
192294	1	50	0	2	0.2108233
192344	1	100	1	1	3.2950862
192394	1	20	1	1	0.8479744
192396	1	85	1	1	0.1152999
192474	1	10	1	1	0.2607823
192568	1	90	1	1	0.34283
192718	1	25	1	1	0.3195889
192753	1	80	1	1	0.1720225
192798	1	95	1	1	0.1214302
192950	1	75	1	1	0.8041893
193343	1	80	1	1	0.8305349
193408	1	50	0	2	0.2589377
193466	1	0	1	1	0.1918315
193713	3	51	1	1	0.5687355
193972	1	95	1	1	1.8272247
194068	1	80	1	1	0.3886261
194269	1	95	1	1	0.6349587
194284	1	90	1	1	0.32340410000000003
194477	3	0	1	1	0.628365
194490	1	0	1	1	0.1874065
194634	1	55	0	2	0.5858862
194718	1	80	1	1	0.0957554
194860	1	45	1	1	0.1188934
195296	1	80	1	1	0.1504144
195349	1	50	1	1	0.8202757
195373	1	75	NA	NA	0.9169326
195400	4	90	1	1	0.5226518
196107	1	85	1	1	0.1300936
196177	1	100	1	1	0.193404
196610	4	15	1	1	0.599785
196645	1	100	1	1	0.3162606
196688	2	0	0	3	8.3768405
196813	1	20	1	1	0.3744597
197067	1	90	1	1	1.4549357
197087	1	100	1	1	2.2055102
197168	1	0	1	1	0.5124666
197174	1	80	1	1	0.5162342
197397	1	95	1	1	2.1950426
197520	3	0	0	2	8.3768405
197580	4	0	1	1	0.4233969
197934	1	60	1	1	0.1692328
198176	1	5	1	1	0.5092985
198205	1	50	1	1	0.0677704
198208	1	40	1	1	0.4784197
198245	1	100	1	1	0.2598565
198295	1	75	NA	NA	0.1567952
198321	1	0	1	1	1.3017705
198449	1	20	1	1	0.2090356
198571	1	25	1	1	0.6996331
198628	9	75	0	3	1.3435968
